year,state,state_po,state_fips,state_cen,state_ic,candidate_id,candidate_ballot_name,candidate_display,party_simplified,candidatevotes,totalvotes,vote_share,writein,source_row_count
1976,ALASKA,AK,2,94,81.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,71555,123574,0.5790457539611893,False,1
1976,ALASKA,AK,2,94,81.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,44058,123574,0.3565313091750692,False,1
1976,ALASKA,AK,2,94,81.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,6785,123574,0.054906371890527134,False,1
1976,ALASKA,AK,2,94,81.0,write-in-blank,,Write-in/blank,OTHER,1176,123574,0.00951656497321443,True,1
1976,ALABAMA,AL,1,63,41.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,659170,1182850,0.5572726888447394,False,1
1976,ALABAMA,AL,1,63,41.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,504070,1182850,0.42614870862746757,False,1
1976,ALABAMA,AL,1,63,41.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,9198,1182850,0.0077761339138521365,False,1
1976,ALABAMA,AL,1,63,41.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,6669,1182850,0.005638077524622733,False,1
1976,ALABAMA,AL,1,63,41.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,1954,1182850,0.0016519423426469967,False,1
1976,ALABAMA,AL,1,63,41.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,1481,1182850,0.0012520607008496428,False,1
1976,ALABAMA,AL,1,63,41.0,write-in-blank,,Write-in/blank,OTHER,308,1182850,0.0002603880458215327,True,1
1976,ARKANSAS,AR,5,71,42.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,498604,767535,0.6496172812966184,False,1
1976,ARKANSAS,AR,5,71,42.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,267903,767535,0.3490433661005687,False,1
1976,ARKANSAS,AR,5,71,42.0,write-in-blank,,Write-in/blank,OTHER,639,767535,0.000832535324122027,False,1
1976,ARKANSAS,AR,5,71,42.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,389,767535,0.000506817278690874,False,1
1976,ARIZONA,AZ,4,86,61.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,418642,742719,0.5636613577948053,False,1
1976,ARIZONA,AZ,4,86,61.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,295602,742719,0.39799978188251545,False,1
1976,ARIZONA,AZ,4,86,61.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,19229,742719,0.02589000685319751,False,1
1976,ARIZONA,AZ,4,86,61.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,7647,742719,0.010295953112819249,False,1
1976,ARIZONA,AZ,4,86,61.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,928,742719,0.00124946312131506,False,1
1976,ARIZONA,AZ,4,86,61.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,564,742719,0.0007593719832130322,False,1
1976,ARIZONA,AZ,4,86,61.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,85,742719,0.00011444435917217683,False,1
1976,ARIZONA,AZ,4,86,61.0,write-in-blank,,Write-in/blank,OTHER,22,742719,2.9620892962210473e-05,True,1
1976,CALIFORNIA,CA,6,93,71.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,3882244,7803770,0.4974831395594693,False,1
1976,CALIFORNIA,CA,6,93,71.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,3742284,7803770,0.47954821836112543,False,1
1976,CALIFORNIA,CA,6,93,71.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,OTHER,56388,7803770,0.0072257383290384005,False,1
1976,CALIFORNIA,CA,6,93,71.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,51098,7803770,0.006547860841618859,False,1
1976,CALIFORNIA,CA,6,93,71.0,margaret-wright,"WRIGHT, MARGARET",Margaret Wright,OTHER,41731,7803770,0.005347543559074653,False,1
1976,CALIFORNIA,CA,6,93,71.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,17259,7803770,0.0022116233564033793,False,1
1976,CALIFORNIA,CA,6,93,71.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,12766,7803770,0.0016358759932699196,False,1
1976,COLORADO,CO,8,84,62.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,584278,1081440,0.5402777777777777,False,1
1976,COLORADO,CO,8,84,62.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,460801,1081440,0.4260994599792869,False,1
1976,COLORADO,CO,8,84,62.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,26047,1081440,0.024085478621097795,False,1
1976,COLORADO,CO,8,84,62.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,5338,1081440,0.004936011244266903,False,1
1976,COLORADO,CO,8,84,62.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,2886,1081440,0.002668664003550821,False,1
1976,COLORADO,CO,8,84,62.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,1122,1081440,0.0010375055481580116,False,1
1976,COLORADO,CO,8,84,62.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,565,1081440,0.0005224515460866992,False,1
1976,COLORADO,CO,8,84,62.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,403,1081440,0.00037265127977511464,False,1
1976,CONNECTICUT,CT,9,16,1.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,719261,1386355,0.5188144450735923,False,1
1976,CONNECTICUT,CT,9,16,1.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,647895,1386355,0.46733700964038793,False,1
1976,CONNECTICUT,CT,9,16,1.0,scattering,SCATTERING,Scattering,OTHER,10309,1386355,0.0074360463229115195,False,1
1976,CONNECTICUT,CT,9,16,1.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,7101,1386355,0.005122064694829246,False,1
1976,CONNECTICUT,CT,9,16,1.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,1789,1386355,0.0012904342682790483,False,1
1976,DISTRICT OF COLUMBIA,DC,11,53,55.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,137818,168830,0.8163122667772316,False,1
1976,DISTRICT OF COLUMBIA,DC,11,53,55.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,27873,168830,0.16509506604276492,False,1
1976,DISTRICT OF COLUMBIA,DC,11,53,55.0,other,OTHER,Other,OTHER,1656,168830,0.009808683290884322,False,1
1976,DISTRICT OF COLUMBIA,DC,11,53,55.0,write-in-blank,,Write-in/blank,OTHER,1483,168830,0.008783983889119232,True,2
1976,DELAWARE,DE,10,51,11.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,122461,235642,0.5196908870235357,False,1
1976,DELAWARE,DE,10,51,11.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,109780,235642,0.46587620203529084,False,1
1976,DELAWARE,DE,10,51,11.0,write-in-blank,,Write-in/blank,OTHER,2518,235642,0.010685701190789418,False,2
1976,DELAWARE,DE,10,51,11.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,645,235642,0.0027372030452975276,False,1
1976,DELAWARE,DE,10,51,11.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,135,235642,0.0005729029629692499,False,1
1976,DELAWARE,DE,10,51,11.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,103,235642,0.0004371037421172796,False,1
1976,FLORIDA,FL,12,59,43.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,1636000,3150631,0.5192610623078361,False,1
1976,FLORIDA,FL,12,59,43.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,1469531,3150631,0.46642434483758966,False,1
1976,FLORIDA,FL,12,59,43.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,23643,3150631,0.007504211061212817,False,1
1976,FLORIDA,FL,12,59,43.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,21325,3150631,0.006768485424030932,False,1
1976,FLORIDA,FL,12,59,43.0,write-in-blank,,Write-in/blank,OTHER,132,3150631,4.1896369330461105e-05,True,1
1976,GEORGIA,GA,13,58,44.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,979409,1463152,0.6693829485931742,False,1
1976,GEORGIA,GA,13,58,44.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,483743,1463152,0.3306170514068258,False,1
1976,HAWAII,HI,15,95,82.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,147375,291301,0.5059199934088795,False,1
1976,HAWAII,HI,15,95,82.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,140003,291301,0.48061283689379714,False,1
1976,HAWAII,HI,15,95,82.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,3923,291301,0.013467169697323388,False,1
1976,IOWA,IA,19,42,31.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,632864,1279303,0.49469437654722925,False,1
1976,IOWA,IA,19,42,31.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,619931,1279303,0.48458496540694423,False,1
1976,IOWA,IA,19,42,31.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,20057,1279303,0.015678068448209688,False,1
1976,IOWA,IA,19,42,31.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,3041,1279303,0.002377075641970667,False,1
1976,IOWA,IA,19,42,31.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,1454,1279303,0.0011365563904719993,False,1
1976,IOWA,IA,19,42,31.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,551,1279303,0.0004307032813961978,False,1
1976,IOWA,IA,19,42,31.0,scattering,SCATTERING,Scattering,OTHER,509,1279303,0.0003978729042298814,False,1
1976,IOWA,IA,19,42,31.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,262,1279303,0.00020479901946606862,False,1
1976,IOWA,IA,19,42,31.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,241,1279303,0.00018838383088291046,False,1
1976,IOWA,IA,19,42,31.0,frank-zeidler,"ZEIDLER, FRANK",Frank Zeidler,OTHER,233,1279303,0.000182130425708374,False,1
1976,IOWA,IA,19,42,31.0,levin-julius-jules,"JULIUS ""JULES"", LEVIN","Levin Julius ""Jules""",OTHER,160,1279303,0.00012506810349072894,False,1
1976,IDAHO,ID,16,82,63.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,204151,340932,0.5988026937923104,False,1
1976,IDAHO,ID,16,82,63.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,126549,340932,0.37118545633733413,False,1
1976,IDAHO,ID,16,82,63.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,5935,340932,0.017408163504745815,False,1
1976,IDAHO,ID,16,82,63.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,3558,340932,0.010436098694167752,False,1
1976,IDAHO,ID,16,82,63.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,739,340932,0.0021675876714418126,False,1
1976,ILLINOIS,IL,17,33,21.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,2364269,4721282,0.5007684353529401,False,1
1976,ILLINOIS,IL,17,33,21.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,2271295,4721282,0.48107590268914247,False,1
1976,ILLINOIS,IL,17,33,21.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,55939,4721282,0.011848264941598489,False,1
1976,ILLINOIS,IL,17,33,21.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,9250,4721282,0.001959213620368366,False,1
1976,ILLINOIS,IL,17,33,21.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,8057,4721282,0.0017065280150603162,False,1
1976,ILLINOIS,IL,17,33,21.0,write-in-blank,,Write-in/blank,OTHER,4417,4721282,0.0009355509795856295,True,1
1976,ILLINOIS,IL,17,33,21.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,3615,4721282,0.0007656818635277452,False,1
1976,ILLINOIS,IL,17,33,21.0,levin-julius-jules,"JULIUS ""JULES"", LEVIN","Levin Julius ""Jules""",OTHER,2422,4721282,0.0005129962582196955,False,1
1976,ILLINOIS,IL,17,33,21.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,2018,4721282,0.0004274262795571203,False,1
1976,INDIANA,IN,18,32,22.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,1183958,2220362,0.5332274647107094,False,1
1976,INDIANA,IN,18,32,22.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,1014714,2220362,0.45700385792947273,False,1
1976,INDIANA,IN,18,32,22.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,14048,2220362,0.006326896244846561,False,1
1976,INDIANA,IN,18,32,22.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,5695,2220362,0.0025648970753417684,False,1
1976,INDIANA,IN,18,32,22.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,1947,2220362,0.0008768840396295739,False,1
1976,KANSAS,KS,20,47,32.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,502752,957845,0.5248782423043394,False,1
1976,KANSAS,KS,20,47,32.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,430421,957845,0.44936393675385894,False,1
1976,KANSAS,KS,20,47,32.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,13185,957845,0.013765275175002218,False,1
1976,KANSAS,KS,20,47,32.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,4724,957845,0.004931904431301515,False,1
1976,KANSAS,KS,20,47,32.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,OTHER,3242,957845,0.003384681237569753,False,1
1976,KANSAS,KS,20,47,32.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,2118,957845,0.0022112137141186727,False,1
1976,KANSAS,KS,20,47,32.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,1403,957845,0.001464746383809489,False,1
1976,KENTUCKY,KY,21,61,51.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,615717,1167142,0.5275424926872652,False,1
1976,KENTUCKY,KY,21,61,51.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,531852,1167142,0.45568748275702525,False,1
1976,KENTUCKY,KY,21,61,51.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,8308,1167142,0.007118242681695972,False,1
